"","Protein_ID","Species","Function","Appearances"
"2017","O95837","Human","Guanine nucleotide-binding protein subunit alpha-14","529"
"2018","P08539","Yeast","Guanine nucleotide-binding protein alpha-1 subunit","529"
"2019","P08754","Human","Guanine nucleotide-binding protein G(i) subunit alpha-3","529"
"2020","P18064","Arabidopsis","Guanine nucleotide-binding protein alpha-1 subunit","529"
"2021","P50148","Human","Guanine nucleotide-binding protein G(q) subunit alpha","529"
"2022","P63096","Human","Guanine nucleotide-binding protein G(i) subunit alpha-1","529"
"2023","P38720","Yeast","6-phosphogluconate dehydrogenase, decarboxylating 1","530"
"2028","A0A1P8B9T0","Arabidopsis","Co-factor for nitrate, reductase and xanthine dehydrogenase 5","531"
"2029","O95396","Human","Adenylyltransferase and sulfurtransferase MOCS3","531"
"2030","P38820","Yeast","Adenylyltransferase and sulfurtransferase UBA4","531"
"2031","A0A1P8B2H6","Arabidopsis","Terpene cyclase/mutase family member","532"
"2032","B6EXY6","Arabidopsis","Beta-amyrin synthase","532"
"2033","P38604","Yeast","Lanosterol synthase ERG7","532"
"2034","P48449","Human","Lanosterol synthase","532"
"2035","Q1G1A4","Arabidopsis","Lanosterol synthase","532"
"2036","Q9C5M3","Arabidopsis","Lupeol synthase 1","532"
"2037","Q9FZI2","Arabidopsis","Lupeol synthase 5","532"
"2038","Q9SYN1","Arabidopsis","Seco-amyrin synthase","532"
"2039","P38747","Yeast","OTU domain-containing protein 2",""
"2040","Q7L8S5","Human","OTU domain-containing protein 6A",""
"2041","Q8N6M0","Human","Deubiquitinase OTUD6B",""
"2042","P47143","Yeast","Adenosine kinase","534"
"2043","P55263","Human","Adenosine kinase","534"
"2044","Q9LZG0","Arabidopsis","Adenosine kinase 2","534"
"2045","Q9SF85","Arabidopsis","Adenosine kinase 1","534"
"2046","O95214","Human","Leptin receptor overlapping transcript-like 1","535"
"2047","P47111","Yeast","Vacuolar protein sorting-associated protein 55","535"
"2048","Q9AST6","Arabidopsis","Vacuolar protein sorting-associated protein 55 homolog","535"
"2049","P47119","Yeast","Inosine triphosphate pyrophosphatase","536"
"2050","Q8L968","Arabidopsis","Inosine triphosphate pyrophosphatase","536"
"2051","Q9BY32","Human","Inosine triphosphate pyrophosphatase","536"
"2052","P47079","Yeast","T-complex protein 1 subunit theta","537"
"2053","P50990","Human","T-complex protein 1 subunit theta","537"
"2054","Q94K05","Arabidopsis","T-complex protein 1 subunit theta","537"
"2055","A0A178VYU4","Arabidopsis","Protein MEMO1","538"
"2056","P47085","Yeast","MEMO1 family protein MHO1","538"
"2057","Q9Y316","Human","Protein MEMO1","538"
"2058","O00566","Human","U3 small nucleolar ribonucleoprotein protein MPP10","539"
"2059","P47083","Yeast","U3 small nucleolar RNA-associated protein MPP10","539"
"2060","Q9FJY5","Arabidopsis","M phase phosphoprotein 10","539"
"2062","P00044","Yeast","Cytochrome c isoform 1","540"
"2065","A0A178UKI3","Arabidopsis","Translation machinery-associated protein 22","541"
"2066","O43583","Human","Density-regulated protein","541"
"2067","P47089","Yeast","Translation machinery-associated protein 22","541"
"2068","P0CS90","Yeast","Import motor subunit, mitochondrial","542"
"2072","A0A219I0W9","Arabidopsis","Glucose-6-phosphate/phosphate translocator-like protein","543"
"2073","P39542","Yeast","Uncharacterized transporter YJL193W","543"
"2074","Q96K37","Human","Solute carrier family 35 member E1","543"
"2075","Q9LF61","Arabidopsis","Xylulose 5-phosphate/phosphate translocator, chloroplastic","543"
"2076","P40958","Yeast","Mitotic spindle checkpoint component MAD2","544"
"2077","Q13257","Human","Mitotic spindle assembly checkpoint protein MAD2A","544"
"2078","Q9LU93","Arabidopsis","Mitotic spindle checkpoint protein MAD2","544"
"2079","O82387","Arabidopsis","Cell division control protein 6 homolog","545"
"2080","P09119","Yeast","Cell division control protein 6","545"
"2081","Q8W032","Arabidopsis","Cell division control protein 6 homolog B","545"
"2082","Q99741","Human","Cell division control protein 6 homolog","545"
"2083","P47077","Yeast","Nucleolar protein 9",""
"2084","Q86U38","Human","Nucleolar protein 9",""
"2085","P63220","Human","Small ribosomal subunit protein eS21","547, 623"
"2086","Q3E754","Yeast","Small ribosomal subunit protein eS21B","547"
"2087","Q3E902","Arabidopsis","Small ribosomal subunit protein eS21y","547, 623"
"2088","Q9M337","Arabidopsis","Small ribosomal subunit protein eS21z","547, 623"
"2089","A0A494C066","Human","Kynurenine aminotransferase 1","548"
"2090","P47039","Yeast","Probable kynurenine--oxoglutarate transaminase BNA3","548"
"2091","Q16773","Human","Kynurenine--oxoglutarate transaminase 1","548"
"2092","Q6YP21","Human","Kynurenine--oxoglutarate transaminase 3","548"
"2093","Q9CAP1","Arabidopsis","At1g77670","548"
"2094","A0A1I9LTR7","Arabidopsis","Protein Transporter, Pam16","549"
"2095","P42949","Yeast","Mitochondrial import inner membrane translocase subunit TIM16","549"
"2096","Q93W66","Arabidopsis","Mitochondrial import inner membrane translocase subunit PAM16 like 1","549"
"2097","Q9Y3D7","Human","Mitochondrial import inner membrane translocase subunit TIM16","549"
"2098","P42285","Human","Exosome RNA helicase MTR4","550"
"2099","P47047","Yeast","ATP-dependent RNA helicase DOB1","550"
"2100","Q9XIF2","Arabidopsis","DExH-box ATP-dependent RNA helicase DExH9","550"
"2101","Q9ZVW2","Arabidopsis","DExH-box ATP-dependent RNA helicase DExH10","550"
"2102","A0A1P8AUN1","Arabidopsis","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","551"
"2103","P04843","Human","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","551"
"2104","P41543","Yeast","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1","551"
"2105","Q9ZUA0","Arabidopsis","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1B","551"
"2106","B3H5Z2","Arabidopsis","Acyl-CoA thioesterase family protein","552"
"2107","F4HU51","Arabidopsis","Acyl-CoA hydrolase 2","552"
"2108","O14734","Human","Acyl-coenzyme A thioesterase 8","552"
"2109","P41903","Yeast","Peroxisomal acyl-coenzyme A thioester hydrolase 1","552"
"2110","A0A1P8ATZ0","Arabidopsis","Membrane trafficking VPS53 family protein","553"
"2111","P47061","Yeast","Vacuolar protein sorting-associated protein 53","553"
"2112","Q5VIR6","Human","Vacuolar protein sorting-associated protein 53 homolog","553"
"2113","P0CX25","Yeast","Large ribosomal subunit protein eL43A","554, 1062"
"2114","P61513","Human","Large ribosomal subunit protein eL43","554, 1062"
"2115","Q8RXU5","Arabidopsis","Large ribosomal subunit protein eL43y","554, 1062"
"2116","Q9SRK6","Arabidopsis","Large ribosomal subunit protein eL43z","554, 1062"
"2117","P05198","Human","Eukaryotic translation initiation factor 2 subunit 1","555"
"2118","P20459","Yeast","Eukaryotic translation initiation factor 2 subunit alpha","555"
"2119","Q9FE78","Arabidopsis","Eukaryotic translation initiation factor 2 subunit alpha","555"
"2120","Q9SIZ2","Arabidopsis","Eukaryotic translation initiation factor 2 subunit alpha homolog","555"
"2121","P47117","Yeast","Actin-related protein 3","556"
"2122","P61158","Human","Actin-related protein 3","556"
"2123","Q9P1U1","Human","Actin-related protein 3B","556"
"2124","Q9SAF1","Arabidopsis","Actin-related protein 3","556"
"2125","O48520","Arabidopsis","DNA polymerase delta small subunit","557"
"2126","P46957","Yeast","DNA polymerase delta small subunit","557"
"2127","P49005","Human","DNA polymerase delta subunit 2","557"
"2128","P47122","Yeast","GPN-loop GTPase 1","558"
"2129","Q8W586","Arabidopsis","GPN-loop GTPase QQT2","558"
"2130","Q9HCN4","Human","GPN-loop GTPase 1","558"
"2131","P00830","Yeast","ATP synthase subunit beta, mitochondrial","559"
"2132","P06576","Human","ATP synthase subunit beta, mitochondrial","559"
"2133","P83484","Arabidopsis","ATP synthase subunit beta-2, mitochondrial","559"
"2134","Q9C5A9","Arabidopsis","ATP synthase subunit beta-3, mitochondrial","559"
"2135","A0A1P8B151","Arabidopsis","inositol-3-phosphate synthase","560"
"2136","P11986","Yeast","Inositol-3-phosphate synthase","560"
"2137","P42801","Arabidopsis","Inositol-3-phosphate synthase isozyme 1","560"
"2138","Q9LX12","Arabidopsis","Probable inositol 3-phosphate synthase isozyme 3","560"
"2139","Q9NPH2","Human","Inositol-3-phosphate synthase 1","560"
"2140","O50039","Arabidopsis","Ornithine transcarbamylase, chloroplastic","561"
"2141","P00480","Human","Ornithine transcarbamylase, mitochondrial","561"
"2142","P05150","Yeast","Ornithine carbamoyltransferase","561"
"2143","O04450","Arabidopsis","T-complex protein 1 subunit epsilon","562"
"2144","P40413","Yeast","T-complex protein 1 subunit epsilon","562"
"2145","P48643","Human","T-complex protein 1 subunit epsilon","562"
"2146","A0A1P8AZX9","Arabidopsis","Structural maintenance of chromosomes (SMC) family protein","563"
"2147","P47037","Yeast","Structural maintenance of chromosomes protein 3","563"
"2148","Q9UQE7","Human","Structural maintenance of chromosomes protein 3","563"
"2149","P42943","Yeast","T-complex protein 1 subunit eta","564"
"2150","Q99832","Human","T-complex protein 1 subunit eta","564"
"2151","Q9SF16","Arabidopsis","T-complex protein 1 subunit eta","564"
"2152","P15374","Human","Ubiquitin carboxyl-terminal hydrolase isozyme L3","565"
"2153","P35127","Yeast","Ubiquitin carboxyl-terminal hydrolase YUH1","565"
"2154","Q8GWE1","Arabidopsis","Ubiquitin carboxyl-terminal hydrolase 3","565"
"2155","P47033","Yeast","Cell wall protein PRY3","566"
"2156","Q8GZ96","Arabidopsis","At1g58220","566"
"2157","Q8N307","Human","Mucin-20","566"
"2158","O75844","Human","CAAX prenyl protease 1 homolog","567"
"2159","P47154","Yeast","CAAX prenyl protease 1","567"
"2160","Q8RX88","Arabidopsis","CAAX prenyl protease 1 homolog","567"
"2161","P00572","Yeast","Thymidylate kinase",""
"2162","P23919","Human","Thymidylate kinase",""
"2163","F4J5V8","Arabidopsis","Phosphatidic acid phosphatase (PAP2) family protein","569"
"2164","P47013","Yeast","Dihydrosphingosine 1-phosphate phosphatase LCB3","569"
"2165","Q8IWX5","Human","Sphingosine-1-phosphate phosphatase 2","569"
"2166","Q9BX95","Human","Sphingosine-1-phosphate phosphatase 1","569"
"2167","F4IUW3","Arabidopsis","Amino acid transporter AVT1C","570"
"2168","F4IZW8","Arabidopsis","Amino acid transporter AVT1F","570"
"2169","F4J1Q9","Arabidopsis","Amino acid transporter AVT1I","570"
"2170","O80668","Arabidopsis","Amino acid transporter AVT1A","570"
"2171","P47082","Yeast","Vacuolar amino acid transporter 1","570"
"2172","Q1PER9","Arabidopsis","Amino acid transporter AVT1G","570"
"2173","Q8GYS4","Arabidopsis","Amino acid transporter AVT1D","570"
"2174","Q8LPF4","Arabidopsis","Amino acid transporter AVT1E","570"
"2175","Q9H598","Human","Vesicular inhibitory amino acid transporter","570"
"2176","Q9LXF8","Arabidopsis","Amino acid transporter AVT1J","570"
"2177","O80646","Arabidopsis","Small ribosomal subunit protein uS8y","571, 699"
"2178","P0C0W1","Yeast","Small ribosomal subunit protein uS8A","571"
"2179","P42798","Arabidopsis","Small ribosomal subunit protein uS8z/uS8w","571, 699"
"2180","P62244","Human","Small ribosomal subunit protein uS8","571, 699"
"2181","Q9LX88","Arabidopsis","Small ribosomal subunit protein uS8x","571, 699"
"2182","P19658","Yeast","Exocyst complex component EXO70","572"
"2183","Q9LZD3","Arabidopsis","Exocyst complex component EXO70A1","572"
"2184","Q9UPT5","Human","Exocyst complex component 7","572"
"2185","P03965","Yeast","Carbamoyl phosphate synthase arginine-specific large chain","573"
"2186","P31327","Human","Carbamoyl-phosphate synthase [ammonia], mitochondrial","573"
"2187","Q42601","Arabidopsis","Carbamoyl phosphate synthase arginine-specific large chain, chloroplastic","573"
"2188","P08524","Yeast","Farnesyl pyrophosphate synthase","574"
"2189","P14324","Human","Farnesyl pyrophosphate synthase","574"
"2190","Q09152","Arabidopsis","Farnesyl pyrophosphate synthase 1, mitochondrial","574"
"2191","Q43315","Arabidopsis","Farnesyl pyrophosphate synthase 2","574"
"2192","P35169","Yeast","Serine/threonine-protein kinase TOR1","575"
"2193","P42345","Human","Serine/threonine-protein kinase mTOR","575, 622"
"2194","Q9FR53","Arabidopsis","Serine/threonine-protein kinase TOR","575, 622"
"2195","F4JRY2","Arabidopsis","Proteasome subunit beta","576"
"2196","P28072","Human","Proteasome subunit beta type-6","576"
"2197","P38624","Yeast","Proteasome subunit beta type-1","576"
"2198","A0A1I9LRX6","Arabidopsis","AP complex subunit sigma","577"
"2199","H0YLI7","Human","Adaptor related protein complex 3 subunit sigma 2","577"
"2200","P47064","Yeast","AP-3 complex subunit sigma","577"
"2201","Q92572","Human","AP-3 complex subunit sigma-1","577"
"2202","P11021","Human","Endoplasmic reticulum chaperone BiP","578"
"2203","P16474","Yeast","Endoplasmic reticulum chaperone BiP","578"
"2204","Q39043","Arabidopsis","Heat shock 70 kDa protein BIP2","578"
"2205","Q8H1B3","Arabidopsis","Heat shock 70 kDa protein BIP3","578"
"2206","Q9LKR3","Arabidopsis","Heat shock 70 kDa protein BIP1","578"
"2207","P10768","Human","S-formylglutathione hydrolase","579"
"2208","P40363","Yeast","S-formylglutathione hydrolase","579"
"2209","Q8LAS8","Arabidopsis","S-formylglutathione hydrolase","579"
"2210","P39077","Yeast","T-complex protein 1 subunit gamma","580"
"2211","P49368","Human","T-complex protein 1 subunit gamma","580"
"2212","Q84WV1","Arabidopsis","T-complex protein 1 subunit gamma","580"
"2213","O60830","Human","Mitochondrial import inner membrane translocase subunit Tim17-B","581"
"2214","P39515","Yeast","Mitochondrial import inner membrane translocase subunit TIM17","581"
"2215","Q99595","Human","Mitochondrial import inner membrane translocase subunit Tim17-A","581"
"2216","Q9LN27","Arabidopsis","Mitochondrial import inner membrane translocase subunit TIM17-1","581"
"2217","A0A178UJ48","Arabidopsis","tRNA (adenine(58)-N(1))-methyltransferase","582"
"2218","P46959","Yeast","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61","582"
"2219","Q96FX7","Human","tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A","582"
"2220","P35249","Human","Replication factor C subunit 4","583"
"2221","P40348","Yeast","Replication factor C subunit 2","583"
"2222","Q93ZX1","Arabidopsis","Replication factor C subunit 4","583"
"2223","P22696","Yeast","Peptidyl-prolyl cis-trans isomerase ESS1","584"
"2224","Q13526","Human","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1","584"
"2225","Q9SL42","Arabidopsis","Peptidyl-prolyl cis-trans isomerase Pin1","584"
"2226","P53680","Human","AP-2 complex subunit sigma","585"
"2227","Q00381","Yeast","AP-2 complex subunit sigma","585"
"2228","Q84WL9","Arabidopsis","AP-2 complex subunit sigma","585"
"2229","Q96PC3","Human","AP-1 complex subunit sigma-3","585"
"2230","P35497","Yeast","Sorbitol dehydrogenase 1","586"
"2233","F4K8F7","Arabidopsis","GPI mannosyltransferase 1","587"
"2234","P47088","Yeast","GPI mannosyltransferase 1","587"
"2235","Q9H3S5","Human","GPI mannosyltransferase 1","587"
"2236","P40362","Yeast","U3 small nucleolar RNA-associated protein 18","588"
"2237","Q9FMU5","Arabidopsis","U3 small nucleolar RNA-associated protein 18 homolog","588"
"2238","Q9Y5J1","Human","U3 small nucleolar RNA-associated protein 18 homolog","588"
"2239","O82663","Arabidopsis","Succinate dehydrogenase [ubiquinone] flavoprotein subunit 1, mitochondrial","589, 620"
"2240","P31040","Human","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","589, 620"
"2241","P47052","Yeast","Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial","589"
"2242","Q9ZPX5","Arabidopsis","Succinate dehydrogenase [ubiquinone] flavoprotein subunit 2, mitochondrial","589, 620"
"2243","B3H6K1","Arabidopsis","Uncharacterized protein At4g17910","590"
"2244","P47026","Yeast","GPI-anchored wall transfer protein 1","590"
"2245","Q7Z7B1","Human","Phosphatidylinositol-glycan biosynthesis class W protein","590"
"2246","P26783","Yeast","Small ribosomal subunit protein uS7","591"
"2247","P46782","Human","Small ribosomal subunit protein uS7","591"
"2248","P51427","Arabidopsis","Small ribosomal subunit protein uS7y","591"
"2249","Q9ZUT9","Arabidopsis","Small ribosomal subunit protein uS7z","591"
"2250","P47142","Yeast","Vacuolar protein-sorting-associated protein 25","592"
"2251","Q8VZC9","Arabidopsis","Vacuolar protein sorting-associated protein 25","592"
"2252","Q9BRG1","Human","Vacuolar protein-sorting-associated protein 25","592"
"2253","A8R7K9","Arabidopsis","Vacuolar protein sorting-associated protein 35C","593"
"2254","F4I0P8","Arabidopsis","Vacuolar protein sorting-associated protein 35B","593"
"2255","P34110","Yeast","Vacuolar protein sorting-associated protein 35","593"
"2256","Q7X659","Arabidopsis","Vacuolar protein sorting-associated protein 35A","593"
"2257","Q96QK1","Human","Vacuolar protein sorting-associated protein 35","593"
"2258","P47058","Yeast","tRNA-specific adenosine deaminase subunit TAD2","594"
"2259","Q6IDB6","Arabidopsis","tRNA-specific adenosine deaminase TAD2","594"
"2260","Q7Z6V5","Human","tRNA-specific adenosine deaminase 2","594"
"2261","O78310","Arabidopsis","Superoxide dismutase [Cu-Zn] 2, chloroplastic","595"
"2262","P00441","Human","Superoxide dismutase [Cu-Zn]","595"
"2263","P00445","Yeast","Superoxide dismutase [Cu-Zn]","595"
"2264","P24704","Arabidopsis","Superoxide dismutase [Cu-Zn] 1","595"
"2265","P47120","Yeast","Deoxyhypusine hydroxylase","596"
"2266","Q94JW0","Arabidopsis","Deoxyhypusine hydroxylase","596"
"2267","Q9BU89","Human","Deoxyhypusine hydroxylase","596"
"2268","P47016","Yeast","Deaminated glutathione amidase","597"
"2269","Q86X76","Human","Deaminated glutathione amidase","597"
"2270","Q94JV5","Arabidopsis","Deaminated glutathione amidase, chloroplastic/cytosolic","597"
"2271","P39516","Yeast","Small ribosomal subunit protein uS11B","598"
"2276","B0YJ81","Human","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1","599"
"2277","F4KGW0","Arabidopsis","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase","599"
"2278","P40857","Yeast","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase PHS1","599"
"2279","Q6Y1H2","Human","Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2","599"
"2280","A0A1P8AQY7","Arabidopsis","Golgin Putative 5","600"
"2281","A0A1R7T390","Arabidopsis","Golgi-localized GRIP domain-containing protein","600"
"2282","A0A590UJK3","Human","Sarcolemma associated protein","600"
"2283","P47166","Yeast","Protein SGM1","600"
"2284","A0A1P8B9S1","Arabidopsis","GPI-anchored protein","601"
"2285","O43493","Human","Trans-Golgi network integral membrane protein 2","601"
"2286","P32583","Yeast","Suppressor protein SRP40","601"
"2287","O43633","Human","Charged multivesicular body protein 2a","602"
"2288","P36108","Yeast","DOA4-independent degradation protein 4","602"
"2289","Q9SKI2","Arabidopsis","Vacuolar protein sorting-associated protein 2 homolog 1","602"
"2290","P34253","Yeast","Protein KTI12","603"
"2291","Q96EK9","Human","Protein KTI12 homolog","603"
"2292","Q9LMH0","Arabidopsis","Protein KTI12 homolog","603"
"2293","A0A178W4X0","Arabidopsis","(thale cress) hypothetical protein","604"
"2294","A0A384KL52","Arabidopsis","Serine aminopeptidase S33 domain-containing protein","604"
"2295","A0A654G084","Arabidopsis","Serine aminopeptidase S33 domain-containing protein","604"
"2296","P28321","Yeast","Monoglyceride lipase","604"
"2297","Q8VYJ0","Arabidopsis","Alpha/beta-Hydrolases superfamily protein","604"
"2298","Q99685","Human","Monoglyceride lipase","604"
"2302","P32454","Yeast","Aminopeptidase 2, mitochondrial","606"
"2308","A0A7G2F056","Arabidopsis","Glycoprotease 2","607"
"2309","P36132","Yeast","tRNA N6-adenosine threonylcarbamoyltransferase","607"
"2310","Q9NPF4","Human","tRNA N6-adenosine threonylcarbamoyltransferase","607"
"2311","P36104","Yeast","COMPASS component SWD2","608"
"2312","Q6UXN9","Human","WD repeat-containing protein 82","608"
"2313","Q8RXD8","Arabidopsis","Transducin/WD40 repeat-like superfamily protein","608"
"2314","Q9LYK6","Arabidopsis","Protein ANTHESIS POMOTING FACTOR 1","608"
"2315","A2RVV7","Arabidopsis","Bifunctional protein FolD 1, mitochondrial","609"
"2316","P13995","Human","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial","609"
"2317","Q02046","Yeast","Methylenetetrahydrofolate dehydrogenase [NAD(+)]","609"
"2318","Q9H903","Human","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial","609"
"2319","A0A087WWM0","Human","Trafficking protein particle complex subunit","610"
"2320","F4K1U5","Arabidopsis","Trafficking protein particle complex subunit","610"
"2321","P36149","Yeast","Trafficking protein particle complex subunit BET3","610"
"2322","Q5T215","Human","Trafficking protein particle complex subunit 3-like protein","610"
"2323","P26641","Human","Elongation factor 1-gamma","611, 1081"
"2324","P36008","Yeast","Elongation factor 1-gamma 2","611"
"2325","Q9FVT2","Arabidopsis","Probable elongation factor 1-gamma 2","611, 1081"
"2326","F4JZY1","Arabidopsis","COP1-interactive protein 1","612"
"2327","P12270","Human","Nucleoprotein TPR","612"
"2328","Q02455","Yeast","Protein MLP1","612"
"2329","O94808","Human","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2","613"
"2330","P14742","Yeast","Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","613"
"2331","Q06210","Human","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1","613"
"2332","Q9LIP9","Arabidopsis","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1","613"
"2333","A0A654FJA0","Arabidopsis","2-(3-amino-3-carboxypropyl)histidine synthase subunit 2","614"
"2334","P32461","Yeast","2-(3-amino-3-carboxypropyl)histidine synthase subunit 2","614"
"2335","Q9BQC3","Human","2-(3-amino-3-carboxypropyl)histidine synthase subunit 2","614"
"2336","P36159","Yeast","Ribonuclease Z","615"
"2337","Q8VYS2","Arabidopsis","tRNase Z TRZ3, mitochondrial","615"
"2338","Q9BQ52","Human","Zinc phosphodiesterase ELAC protein 2","615"
"2339","A0A1I9LT03","Arabidopsis","UTP--glucose-1-phosphate uridylyltransferase","616"
"2340","P32861","Yeast","UTP--glucose-1-phosphate uridylyltransferase","616"
"2341","P57751","Arabidopsis","UTP--glucose-1-phosphate uridylyltransferase 1","616"
"2342","Q16851","Human","UTP--glucose-1-phosphate uridylyltransferase","616"
"2343","A0A178UYA3","Arabidopsis","ER membrane protein complex subunit 3","617"
"2344","P36039","Yeast","ER membrane protein complex subunit 3","617"
"2345","Q9P0I2","Human","ER membrane protein complex subunit 3","617"
"2346","O82631","Arabidopsis","F-actin-capping protein subunit alpha","618"
"2347","P28495","Yeast","F-actin-capping protein subunit alpha","618"
"2348","P47755","Human","F-actin-capping protein subunit alpha-2","618"
"2349","P52907","Human","F-actin-capping protein subunit alpha-1","618"
"2350","Q96KX2","Human","F-actin-capping protein subunit alpha-3","618"
"2351","B3DNN5","Arabidopsis","Anaphase-promoting complex subunit 6","619"
"2352","P09798","Yeast","Anaphase-promoting complex subunit CDC16","619"
"2353","Q13042","Human","Cell division cycle protein 16 homolog","619"
"2356","Q00711","Yeast","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial","620"
"2358","A0A178VT28","Arabidopsis","RNA polymerase I specific transcription initiation factor RRN3 protein","621"
"2359","A0A1P8APA8","Arabidopsis","RNA polymerase I specific transcription initiation factor RRN3 protein","621"
"2360","P36070","Yeast","RNA polymerase I-specific transcription initiation factor RRN3","621"
"2361","Q9NYV6","Human","RNA polymerase I-specific transcription initiation factor RRN3","621"
"2362","P32600","Yeast","Serine/threonine-protein kinase TOR2","622"
"2365","P0C0V8","Yeast","Small ribosomal subunit protein eS21A","623"
"2369","O65251","Arabidopsis","Flap endonuclease 1","624"
"2370","P26793","Yeast","Flap endonuclease 1","624"
"2371","P39748","Human","Flap endonuclease 1","624"
"2372","F4KDA5","Arabidopsis","Mitochondrial intermediate peptidase, mitochondrial","625"
"2373","P35999","Yeast","Mitochondrial intermediate peptidase","625"
"2374","Q99797","Human","Mitochondrial intermediate peptidase","625"
"2375","P34247","Yeast","U3 small nucleolar RNA-associated protein 11","626"
"2376","Q9M223","Arabidopsis","Probable U3 small nucleolar RNA-associated protein 11","626"
"2377","Q9Y3A2","Human","Probable U3 small nucleolar RNA-associated protein 11","626"
"2378","F4JUL9","Arabidopsis","Actin-related protein 2/3 complex subunit 4","627"
"2379","F8WCF6","Human","Actin-related protein 2/3 complex subunit 4","627"
"2380","P33204","Yeast","Actin-related protein 2/3 complex subunit 4","627"
"2381","P59998","Human","Actin-related protein 2/3 complex subunit 4","627"
"2382","P32860","Yeast","NifU-like protein, mitochondrial","628"
"2383","Q9C8J2","Arabidopsis","NifU-like protein 5, mitochondrial","628"
"2384","Q9UMS0","Human","NFU1 iron-sulfur cluster scaffold homolog, mitochondrial","628"
"2385","P22314","Human","Ubiquitin-like modifier-activating enzyme 1","629"
"2386","P22515","Yeast","Ubiquitin-activating enzyme E1 1","629"
"2387","P92974","Arabidopsis","Ubiquitin-activating enzyme E1 2","629"
"2388","P93028","Arabidopsis","Ubiquitin-activating enzyme E1 1","629"
"2389","P29468","Yeast","Poly(A) polymerase","630"
"2390","Q56XM9","Arabidopsis","Nuclear poly(A) polymerase 3","630"
"2391","Q9NRJ5","Human","Poly(A) polymerase beta","630"
"2392","A0A454XVD1","Arabidopsis","Ribosome assembly factor mrt4","631"
"2393","P33201","Yeast","Ribosome assembly factor MRT4","631"
"2394","Q9UKD2","Human","mRNA turnover protein 4 homolog","631"
"2395","P14741","Yeast","Translation initiation factor eIF2B subunit alpha",""
"2396","Q14232","Human","Translation initiation factor eIF2B subunit alpha",""
"2397","P33897","Human","ATP-binding cassette sub-family D member 1","633, 1031"
"2398","P34230","Yeast","Peroxisomal long-chain fatty acid import protein 1","633"
"2399","Q6NLC1","Arabidopsis","ABC transporter D family member 2, chloroplastic","633, 1031"
"2400","Q9UBJ2","Human","ATP-binding cassette sub-family D member 2","633, 1031"
"2401","O15498","Human","Synaptobrevin homolog YKT6","634"
"2402","P36015","Yeast","Synaptobrevin homolog YKT6","634"
"2403","Q9LVM9","Arabidopsis","VAMP-like protein YKT62","634"
"2404","Q9ZRD6","Arabidopsis","VAMP-like protein YKT61","634"
"2405","O49203","Arabidopsis","Nucleoside diphosphate kinase III, chloroplastic/mitochondrial","635"
"2406","O64903","Arabidopsis","Nucleoside diphosphate kinase II, chloroplastic","635"
"2407","P22392","Human","Nucleoside diphosphate kinase B","635"
"2408","P36010","Yeast","Nucleoside diphosphate kinase","635"
"2409","P39207","Arabidopsis","Nucleoside diphosphate kinase 1","635"
"2410","Q8LAH8","Arabidopsis","Nucleoside diphosphate kinase IV, chloroplastic/mitochondrial","635"
"2411","A0A1I9LLU8","Arabidopsis","Hydrolase family protein / HAD-superfamily protein","636"
"2412","P36151","Yeast","Mitochondrial hydrolase YKR070W","636"
"2413","Q9BXW7","Human","Haloacid dehalogenase-like hydrolase domain-containing 5","636"
"2414","P36007","Yeast","L-threo-3-hydroxyaspartate ammonia-lyase","637"
"2415","Q2PGG3","Arabidopsis","Serine racemase","637"
"2416","Q9GZT4","Human","Serine racemase","637"
"2417","F4HNT3","Arabidopsis","DNA-directed RNA polymerase subunit","638"
"2418","P35718","Yeast","DNA-directed RNA polymerase III subunit RPC8","638"
"2419","Q9Y535","Human","DNA-directed RNA polymerase III subunit RPC8","638"
"2421","P19145","Yeast","General amino-acid permease GAP1","639"
"2422","Q8W4K3","Arabidopsis","Cationic amino acid transporter 4, vacuolar","639"
"2423","Q9LZ20","Arabidopsis","Cationic amino acid transporter 6, chloroplastic","639"
